participantId,objectName,objectDwellFirstTime,objectDwellEndTime,objectDwellTotalTime,objectDwellValid,objectDwellPosX,objectDwellPosY,objectDwellPosZ,objectDwellDistance
501,Image_Original,0.0,120.0,120.0,1,57.55363,16.69606,32.45312,2.2552981
501,Image_Differences,132.0,520.0,388.0,1,57.5531,16.69547,32.4541,2.218329
501,Image_Original,532.0,700.0,168.0,1,57.55294,16.69506,32.45609,2.204004
501,Wall,708.0,708.0,0.0,0,57.55331,16.69517,32.45652,2.2349322
501,Image_Original,720.0,756.0,36.0,0,57.55334,16.6952,32.45654,2.2195334
501,Wall,764.0,764.0,0.0,0,57.5534,16.69521,32.4566,2.2348523
501,Image_Differences,776.0,796.0,20.0,0,57.5534,16.69521,32.4566,2.219741
501,Image_Original,800.0,1396.0,596.0,1,57.55336,16.69516,32.45655,2.2117567
501,Image_Differences,1408.0,1796.0,388.0,1,57.55304,16.69401,32.45641,2.1832292
501,Image_Original,1808.0,2556.0,748.0,1,57.55326,16.69395,32.45642,2.240289
501,Basic Wall:Cihla plná pálená 600mm:728924,2564.0,2588.0,24.0,0,57.55821,16.69225,32.45275,2.6668935
501,Sink,2596.0,2708.0,112.0,1,57.56214,16.69222,32.45346,2.7884984
501,Basic Wall:Cihla plná pálená 750mm:728921,2720.0,2732.0,12.0,0,57.57169,16.69206,32.45353,3.377837
501,sideDoorsNonSpecific,2744.0,2744.0,0.0,0,57.57434,16.69209,32.45534,3.054827
501,Desk2,2756.0,2788.0,32.0,0,57.57563,16.69208,32.45642,3.1905067
501,Wall_Part,2796.0,2808.0,12.0,0,57.58017,16.69233,32.46239,7.041251
501,sideDoorsNonSpecific,2820.0,4552.0,1732.0,1,57.58138,16.69247,32.46416,6.9695497
501,Desk2,4564.0,4676.0,112.0,1,57.01879,16.54438,29.86271,0.30682725
501,sideDoorsNonSpecific,4684.0,5100.0,416.0,1,57.03795,16.54121,29.84214,4.3752255
501,Wall_Part,5108.0,5364.0,256.0,1,57.39711,16.53996,29.69137,4.2341967
501,sideDoorsNonSpecific,5364.0,5396.0,32.0,0,57.269,16.55236,28.92219,3.3820431
501,Wall_Part,5396.0,5408.0,12.0,0,57.25284,16.55244,28.82261,3.3175929
501,sideDoorsNonSpecific,5420.0,5432.0,12.0,0,57.24453,16.55247,28.77283,3.2247114
501,Wall_Part,5440.0,5568.0,128.0,1,57.23182,16.55249,28.69767,3.208714
501,RadWall,5576.0,5584.0,8.0,0,57.07446,16.55271,28.32315,4.6482954
501,Radiator_ET,5596.0,5596.0,0.0,0,57.04202,16.55273,28.28391,4.910924
501,RadWall,5608.0,5608.0,0.0,0,57.0251,16.55282,28.26481,5.280752
501,Radiator_ET,5620.0,5620.0,0.0,0,56.99091,16.55288,28.22773,5.2685695
501,Wall_Part,5628.0,5676.0,48.0,0,56.97283,16.55304,28.2099,5.650027
501,Radiator_ET,5684.0,5684.0,0.0,0,56.96983,16.55342,28.21216,6.9070163
501,Tiles_Ring,5696.0,5696.0,0.0,0,56.9692,16.55351,28.2126,7.864043
501,4A,5708.0,5828.0,120.0,1,56.96855,16.55356,28.21313,7.7876945
501,4A_Tree_1,5840.0,5840.0,0.0,0,56.96533,16.5543,28.21714,13.203311
501,4A,5852.0,5852.0,0.0,0,56.96526,16.5544,28.21736,13.179844
501,4A_Table_1_set,5864.0,5864.0,0.0,0,56.96519,16.5544,28.21759,8.28638
501,4A,5864.0,5864.0,0.0,0,56.96519,16.5544,28.21759,12.662232
501,4A_Table_1_set,5872.0,5940.0,68.0,1,56.96518,16.55449,28.21782,8.291052
501,4A,5952.0,5964.0,12.0,0,56.85022,16.5549,28.17038,12.173211
501,4A_Tree_1,5972.0,6020.0,48.0,0,56.7812,16.55505,28.14162,13.035549
501,4A,6032.0,6052.0,20.0,0,56.6432,16.55562,28.08474,13.124303
501,4A_Table_1_set,6064.0,6072.0,8.0,0,56.55091,16.55612,28.04725,8.234726
501,4A,6084.0,6084.0,0.0,0,56.48162,16.55651,28.01922,20.963806
501,Basic Wall:Cihla plná pálená 750mm:729120,6096.0,6096.0,0.0,0,56.4586,16.55665,28.00985,45.381115
501,4A_Tree_1,6108.0,6152.0,44.0,0,56.4356,16.55683,28.00044,12.597547
501,4D_Medium_Plant_2,6164.0,6164.0,0.0,0,56.27395,16.55744,27.93562,44.36975
501,4D_Hall_End,6176.0,6196.0,20.0,0,56.22761,16.55754,27.91729,45.140068
501,Basic Wall:Cihla plná pálená 750mm:729120,6196.0,6196.0,0.0,0,56.15794,16.55784,27.89025,45.077553
501,4D_Hall_End,6208.0,6208.0,0.0,0,56.13473,16.55799,27.88129,45.052105
501,Basic Wall:Cihla plná pálená 750mm:729120,6220.0,6220.0,0.0,0,56.11149,16.55813,27.87233,45.029175
501,4D_Hall_End,6232.0,6240.0,8.0,0,56.08823,16.55824,27.86337,45.001266
501,4D_Medium_Plant_2,6252.0,6268.0,16.0,0,56.01831,16.55845,27.83659,44.10668
501,4D_Hall_End,6276.0,6276.0,0.0,0,55.94788,16.55859,27.81076,44.859165
501,Basic Wall:Cihla plná pálená 750mm:729120,6284.0,6284.0,0.0,0,55.92437,16.55864,27.8024,44.83769
501,4A_Tree_1,6300.0,6300.0,0.0,0,55.9007,16.55865,27.79424,12.064926
501,4C_Table_1_set,6300.0,6300.0,0.0,0,55.87697,16.55865,27.78638,36.97808
501,4A_Tree_1,6308.0,6628.0,320.0,1,55.85328,16.55866,27.77846,12.02031
501,4C_Bench,6644.0,6696.0,52.0,1,54.88127,16.56033,27.54347,32.91055
501,4C,6708.0,6740.0,32.0,0,54.68531,16.56072,27.50581,32.622948
501,4D,6752.0,6752.0,0.0,0,54.56293,16.56112,27.48224,40.559456
501,4D_Medium_Plant_2,6764.0,6764.0,0.0,0,54.53848,16.56123,27.47758,42.647724
501,Cube (102),6772.0,6772.0,0.0,0,54.48946,16.56134,27.4682,43.413467
501,4D,6784.0,6784.0,0.0,0,54.46503,16.56145,27.46355,41.92567
501,Cube (102),6796.0,6796.0,0.0,0,54.44059,16.56153,27.45889,43.365215
501,4D_Hall_End,6804.0,6804.0,0.0,0,54.39157,16.56154,27.44957,43.31695
501,4D_Medium_Plant_2,6816.0,6840.0,24.0,0,54.36714,16.56155,27.44495,42.46983
501,4D_Hall_End,6852.0,6884.0,32.0,0,54.26923,16.56171,27.42636,43.181355
501,Basic Wall:Cihla plná pálená 750mm:729120,6892.0,6892.0,0.0,0,54.14684,16.56202,27.40335,43.059032
501,4D_Medium_Plant_2,6908.0,6916.0,8.0,0,54.12228,16.56211,27.3989,42.225506
501,4D_Hall_End,6928.0,6948.0,20.0,0,54.04847,16.5623,27.3863,42.976376
501,4C_Table_1_set,6960.0,6996.0,36.0,0,53.94995,16.56241,27.37099,35.06425
501,4C_Bench,7004.0,7104.0,100.0,1,53.82674,16.56267,27.3535,31.823584
501,4C_Table_1_set,7116.0,7116.0,0.0,0,53.50499,16.5633,27.31501,34.625782
501,4C_Medium_Plant_1,7124.0,7136.0,12.0,0,53.45541,16.56336,27.30915,33.755394
501,4C_Table_1_set,7148.0,7160.0,12.0,0,53.4058,16.56341,27.30344,34.52705
501,4D_Hall_End,7172.0,7192.0,20.0,0,53.33136,16.56343,27.29496,42.271606
501,Cube (102),7204.0,7204.0,0.0,0,53.2322,16.56343,27.28363,42.164352
501,4C_Table_1_set,7212.0,7216.0,4.0,0,53.20736,16.56343,27.28076,34.332066
501,4D,7224.0,7224.0,0.0,0,53.15767,16.5634,27.27543,41.639294
501,4C_Table_1_set,7236.0,7236.0,0.0,0,53.13279,16.56339,27.27269,34.26443
501,4C_Medium_Plant_1,7248.0,7248.0,0.0,0,53.08302,16.5634,27.26764,33.3273
501,4C_Table_1_set,7260.0,7284.0,24.0,0,53.05811,16.56344,27.26517,34.192142
501,4C_Medium_Plant_1,7292.0,7316.0,24.0,0,52.95855,16.56341,27.25562,33.20388
501,4C_Bench,7328.0,7472.0,144.0,1,52.85896,16.56346,27.24693,32.719784
501,4C_Medium_Plant_1,7484.0,7508.0,24.0,0,52.38554,16.56359,27.21157,32.633892
501,4C_Table_1_set,7516.0,7608.0,92.0,1,52.2859,16.56363,27.20474,33.41926
501,Cube (102),7620.0,7708.0,88.0,1,51.98686,16.56387,27.18457,40.928387
501,4D_Medium_Plant_2,7720.0,7816.0,96.0,1,51.68781,16.56408,27.16443,39.813576
501,4D,7828.0,7828.0,0.0,0,51.36327,16.56436,27.14236,38.777863
501,4A_Tree_1,7840.0,8292.0,452.0,1,51.33822,16.56434,27.14065,7.5632453
501,4A_Tree_2,8304.0,8308.0,4.0,0,49.93802,16.5639,27.10354,9.991879
501,4C_Bench,8316.0,8316.0,0.0,0,49.88798,16.56391,27.10258,27.930624
501,4C_Medium_Plant_1,8328.0,8328.0,0.0,0,49.86293,16.5639,27.10207,30.1024
501,4C_Table_1_set,8340.0,8384.0,44.0,0,49.83789,16.56392,27.10154,30.964048
501,4C_Medium_Plant_1,8396.0,8752.0,356.0,1,49.66274,16.56396,27.09813,29.906189
501,4D_Medium_Plant_2,8764.0,8764.0,0.0,0,48.5629,16.56395,27.07797,36.677658
501,4D_Hall_End,8772.0,8772.0,0.0,0,48.53794,16.564,27.0775,37.473927
501,Wall_Part,8784.0,8852.0,68.0,1,48.48795,16.56404,27.0766,29.448637
501,Radiator_ET,8864.0,8884.0,20.0,0,48.26317,16.56416,27.07265,30.833977
501,Wall_Part,8896.0,8920.0,24.0,0,48.1632,16.56413,27.07088,30.707972
501,Radiator_ET,8928.0,8928.0,0.0,0,48.06314,16.56411,27.06895,30.637133
501,Wall_Part,8940.0,8948.0,8.0,0,48.03811,16.56409,27.06848,32.45443
501,Radiator_ET,8964.0,9108.0,144.0,1,47.96312,16.56405,27.06711,31.159916
501,Wall_Part,9116.0,9172.0,56.0,1,47.48879,16.56384,27.0585,29.89471
