participantId,AoiId,AreaOfInterest,EntryTime,DwellTime,Revisits
501,1,dvere,2820.0,4472.0,18
501,14,4Apdl,5708.0,120.0,0
501,17,4Ak2,6308.0,1572.0,2
501,26,4Cn1,6644.0,596.0,3
501,27,4Ck1,8396.0,356.0,0
501,25,4Bc,10772.0,804.0,1
501,997,4Bvp2,11148.0,256.0,0
501,23,4Bhp,12784.0,88.0,0
501,21,4Bm,12960.0,8624.0,14
501,33,4Co2,19092.0,64.0,0
501,42,4Drh,19544.0,1292.0,8
501,40,4Dk,32608.0,188.0,0
501,39,4Cz2,33716.0,88.0,0
501,47,4Eo1,38268.0,236.0,0
501,45,4Ek1,39712.0,220.0,0
501,63,4Gmsch,43612.0,2136.0,3
501,62,4Gm,45176.0,1056.0,3
501,68,4Go3,46312.0,164.0,0
501,72,4Jo,54596.0,232.0,1
501,73,4Jcz,55260.0,780.0,4
501,93,4Oo,58428.0,468.0,1
501,92,4Opdl,59836.0,448.0,0
501,96,4Ppdl,63004.0,244.0,0
501,101,3Kpdl,63880.0,68.0,0
501,98,3Kvz,64236.0,652.0,1
501,104,3Hpdl,64848.0,64.0,0
501,108,3Ipdl,64924.0,488.0,1
501,106,3Hpd,65620.0,92.0,0
501,103,3Hep,66900.0,224.0,0
501,115,3Sms,67688.0,524.0,0
501,126,2Kpd,70548.0,304.0,1
501,123,2Kfb,70824.0,136.0,1
501,124,2Kc,72576.0,1344.0,2
501,129,2Hep,74500.0,240.0,0
501,141,2Sk,74964.0,88.0,0
501,143,2Sn,75164.0,480.0,1
501,144,2Srh,75676.0,464.0,3
501,145,2Oz,76844.0,108.0,0
501,148,2Pok,77440.0,56.0,0
501,147,2Po,77508.0,156.0,0
501,151,1Kc,79620.0,1944.0,2
501,998,1Hmt,84672.0,500.0,0
501,159,VFR,86180.0,3584.0,2
501,166,VFZ,0.0,0.0,0
501,165,1Updl,0.0,0.0,0
501,164,1Uz3,0.0,0.0,0
501,163,1Uz2,0.0,0.0,0
501,162,1Uz1,0.0,0.0,0
501,161,1Lz,0.0,0.0,0
501,160,1Lpdl,0.0,0.0,0
501,158,1MNpdl,0.0,0.0,0
501,157,1Iz,0.0,0.0,0
501,156,1Ipdl,0.0,0.0,0
501,155,1Hep,0.0,0.0,0
501,154,1Hpdl,0.0,0.0,0
501,153,1Kz2,0.0,0.0,0
501,152,1Kz1,0.0,0.0,0
501,150,1Kpdl,0.0,0.0,0
501,149,2QRpdl,0.0,0.0,0
501,146,2Ppdl,0.0,0.0,0
501,142,2So,0.0,0.0,0
501,140,2Opdl,0.0,0.0,0
501,139,2MNpdl,0.0,0.0,0
501,138,2Iz1,0.0,0.0,0
501,137,2Iz2,0.0,0.0,0
501,136,2Imt,0.0,0.0,0
501,135,2Ipdl,0.0,0.0,0
501,134,2Gz,0.0,0.0,0
501,133,2Gpdp,0.0,0.0,0
501,132,2Hz,0.0,0.0,0
501,131,2Hpd,0.0,0.0,0
